Sum of Budget,CollaboratingCountries,Country,Sum of DurationDays,EnvironmentalImpact,Year,Quarter,Month,Day,Sum of LaunchMonth,LaunchSite,Sum of LaunchYear,MissionName,MissionType,Sum of QuarterOfYear,SatelliteType,Sum of SuccessRate,TechnologyUsed
$44.2M,"Uae, Russia",Uae,217,High,1905,Qtr 3,July,15,7,New Steveburgh,1905,Cross-Group Regional Moratorium,Unmanned,3,Research,74,Traditional Rocket
$32.0M,"Uae, Russia",Uae,186,Low,1905,Qtr 3,July,3,7,Lindsayfurt,1905,Ameliorated Object-Oriented Collaboration,Unmanned,3,Research,83,Reusable Rocket
$0.5M,"Uae, Russia",Uae,161,Medium,1905,Qtr 3,July,2,7,North Ericville,1905,Inverse High-Level Approach,Unmanned,3,Spy,55,Nuclear Propulsion
$7.0M,"Uae, Russia, China",Japan,33,Medium,1905,Qtr 2,June,23,6,Martinfurt,1905,Exclusive Real-Time Encoding,Manned,2,Weather,81,Solar Propulsion
$1.5M,"Uae, Russia, France",Uae,160,Low,1905,Qtr 2,June,28,6,Victoriaview,1905,Proactive Attitude-Oriented Info-Mediaries,Manned,2,Spy,77,Traditional Rocket
$30.3M,"Uae, Russia, Germany",France,33,Medium,1905,Qtr 2,June,29,6,Bennetttown,1905,Robust 24/7 Website,Manned,2,Weather,82,Ai Navigation
$1.5M,"Uae, Russia, Germany",Germany,42,Low,1905,Qtr 3,July,13,7,Danielsmouth,1905,Right-Sized Local Application,Unmanned,3,Navigation,77,Traditional Rocket
$30.3M,"Uae, Russia, Germany",Japan,177,Low,1905,Qtr 2,June,25,6,East Patricia,1905,Expanded Disintermediate Framework,Unmanned,2,Weather,52,Reusable Rocket
$47.0M,"Uae, Russia, Israel",Usa,203,Medium,1905,Qtr 3,July,6,7,Cuevasland,1905,Realigned Coherent Project,Manned,3,Research,72,Traditional Rocket
$5.6M,"Uae, Russia, Japan",Japan,28,Low,1905,Qtr 2,June,22,6,Rebeccaberg,1905,Expanded High-Level Help-Desk,Unmanned,2,Navigation,73,Ai Navigation
$34.5M,"Uae, Russia, Uk",France,215,High,1905,Qtr 2,June,30,6,North Tyler,1905,Diverse Tertiary Flexibility,Unmanned,2,Weather,59,Reusable Rocket
$30.7M,"Uae, Uk",India,255,Medium,1905,Qtr 3,July,10,7,Brettchester,1905,De-Engineered Mission-Critical Capability,Unmanned,3,Research,90,Ai Navigation
$35.2M,"Uae, Uk",Israel,26,Medium,1905,Qtr 3,July,10,7,Shanemouth,1905,Triple-Buffered Contextually-Based Hierarchy,Manned,3,Spy,99,Traditional Rocket
$25.5M,"Uae, Uk",Japan,194,High,1905,Qtr 2,June,27,6,Leeview,1905,Synergized Exuding Hierarchy,Manned,2,Communication,86,Traditional Rocket
$29.0M,"Uae, Uk",Japan,177,Medium,1905,Qtr 2,June,23,6,Melanieport,1905,Open-Architected Coherent Task-Force,Unmanned,2,Spy,74,Ai Navigation
$17.5M,"Uae, Uk",Uae,10,High,1905,Qtr 3,July,3,7,New Vernon,1905,Multi-Layered Impactful Adapter,Unmanned,3,Weather,70,Traditional Rocket
$45.7M,"Uae, Uk",Uae,52,High,1905,Qtr 3,July,9,7,Lesliefurt,1905,Horizontal System-Worthy Toolset,Unmanned,3,Navigation,63,Nuclear Propulsion
$11.7M,"Uae, Uk",Usa,61,Low,1905,Qtr 2,June,26,6,New Samanthamouth,1905,Profound Modular Emulation,Manned,2,Navigation,100,Solar Propulsion
$12.9M,"Uae, Uk, China",Japan,170,High,1905,Qtr 2,June,28,6,Sarahmouth,1905,Optional Contextually-Based Monitoring,Manned,2,Communication,96,Nuclear Propulsion
$43.2M,"Uae, Uk, China",Usa,310,Medium,1905,Qtr 3,July,12,7,Lake Vincent,1905,Polarized Global Product,Unmanned,3,Communication,55,Reusable Rocket
$47.9M,"Uae, Uk, France",France,111,High,1905,Qtr 3,July,1,7,North Mark,1905,Self-Enabling Object-Oriented Solution,Manned,3,Research,62,Ai Navigation
$17.7M,"Uae, Uk, France",France,238,High,1905,Qtr 3,July,15,7,Danielmouth,1905,Decentralized Didactic Website,Manned,3,Weather,70,Traditional Rocket
$4.6M,"Uae, Uk, France",France,178,Medium,1905,Qtr 3,July,12,7,West Jesus,1905,Sharable 24/7 Superstructure,Manned,3,Communication,93,Reusable Rocket
$12.4M,"Uae, Uk, Germany",Japan,282,Medium,1905,Qtr 2,June,22,6,East Eric,1905,Decentralized Scalable Software,Unmanned,2,Spy,79,Solar Propulsion
$30.8M,"Uae, Uk, India",Japan,346,Low,1905,Qtr 2,June,23,6,Port Beverly,1905,Integrated Dedicated Alliance,Manned,2,Research,100,Solar Propulsion
$42.2M,"Uae, Uk, India",Russia,216,High,1905,Qtr 3,July,7,7,West Marktown,1905,Cross-Platform Dynamic Middleware,Unmanned,3,Weather,70,Solar Propulsion
$25.4M,"Uae, Uk, India",Russia,231,Medium,1905,Qtr 2,June,28,6,Margaretfurt,1905,Enhanced Bottom-Line Approach,Unmanned,2,Weather,99,Traditional Rocket
$14.2M,"Uae, Uk, India",Uk,95,Medium,1905,Qtr 3,July,13,7,Lake Craigfurt,1905,Cloned Multi-State Middleware,Manned,3,Communication,90,Nuclear Propulsion
$1.1M,"Uae, Uk, Israel",Germany,12,Low,1905,Qtr 3,July,8,7,Normanfort,1905,Self-Enabling Optimal Hierarchy,Unmanned,3,Navigation,93,Traditional Rocket
$31.1M,"Uae, Uk, Japan",France,138,Medium,1905,Qtr 3,July,4,7,Michelleborough,1905,Triple-Buffered Leadingedge Complexity,Manned,3,Navigation,95,Nuclear Propulsion
$4.4M,"Uae, Uk, Russia",China,349,Low,1905,Qtr 2,June,22,6,Reynoldsport,1905,Future-Proofed Modular Info-Mediaries,Unmanned,2,Weather,61,Reusable Rocket
$16.8M,"Uae, Uk, Russia",Usa,25,Low,1905,Qtr 3,July,11,7,Jonesstad,1905,Digitized Full-Range Moratorium,Unmanned,3,Communication,89,Ai Navigation
$44.4M,"Uae, Usa",France,355,High,1905,Qtr 3,July,7,7,West Laurashire,1905,Diverse Context-Sensitive Strategy,Unmanned,3,Spy,91,Solar Propulsion
$40.8M,"Uae, Usa",Germany,271,Medium,1905,Qtr 2,June,22,6,West Jessicaside,1905,Diverse Next Generation Knowledgebase,Unmanned,2,Communication,53,Reusable Rocket
$36.3M,"Uae, Usa",Israel,48,Medium,1905,Qtr 3,July,14,7,New Ronald,1905,Devolved Leadingedge Framework,Unmanned,3,Spy,66,Reusable Rocket
$3.1M,"Uae, Usa",Japan,227,High,1905,Qtr 2,June,28,6,New James,1905,Customer-Focused Real-Time Local Area Network,Manned,2,Spy,76,Traditional Rocket
$40.1M,"Uae, Usa",Japan,112,Medium,1905,Qtr 3,July,11,7,Jacobchester,1905,Multi-Channeled Radical Archive,Unmanned,3,Weather,93,Ai Navigation
$41.9M,"Uae, Usa",Russia,1,Medium,1905,Qtr 2,June,22,6,Amyburgh,1905,Open-Architected Fault-Tolerant Parallelism,Manned,2,Spy,78,Solar Propulsion
$43.6M,"Uae, Usa",Uae,179,Low,1905,Qtr 2,June,26,6,East Willieside,1905,Pre-Emptive Needs-Based Website,Manned,2,Communication,67,Nuclear Propulsion
$36.2M,"Uae, Usa",Uk,332,Low,1905,Qtr 2,June,23,6,Barnesbury,1905,Ergonomic Explicit Structure,Unmanned,2,Communication,77,Traditional Rocket
$23.8M,"Uae, Usa",Uk,271,Low,1905,Qtr 2,June,27,6,Suzanneshire,1905,Managed Content-Based Flexibility,Unmanned,2,Communication,74,Solar Propulsion
$6.8M,"Uae, Usa, China",India,262,High,1905,Qtr 3,July,9,7,Jeffreychester,1905,Programmable Leadingedge Emulation,Manned,3,Weather,86,Reusable Rocket
$27.8M,"Uae, Usa, France",Israel,47,High,1905,Qtr 3,July,15,7,North Christopherchester,1905,Re-Contextualized Bi-Directional Matrix,Manned,3,Navigation,62,Traditional Rocket
$27.4M,"Uae, Usa, France",Japan,173,Medium,1905,Qtr 3,July,12,7,Tanyaview,1905,Public-Key Grid-Enabled Infrastructure,Unmanned,3,Communication,55,Nuclear Propulsion
$18.5M,"Uae, Usa, Germany",China,73,Low,1905,Qtr 2,June,29,6,Lake Meghan,1905,Mandatory Scalable Focus Group,Manned,2,Spy,93,Reusable Rocket
$26.6M,"Uae, Usa, India",India,17,Medium,1905,Qtr 3,July,1,7,Lake Victorside,1905,Re-Contextualized Systemic Secured Line,Manned,3,Research,100,Ai Navigation
$27.8M,"Uae, Usa, Israel",France,307,Low,1905,Qtr 3,July,16,7,South Jessicaton,1905,Cloned Web-Enabled Hierarchy,Manned,3,Weather,80,Ai Navigation
$45.2M,"Uae, Usa, Israel",Germany,339,Medium,1905,Qtr 2,June,27,6,North Eric,1905,Managed Dynamic System Engine,Manned,2,Spy,74,Nuclear Propulsion
$9.0M,"Uae, Usa, Israel",Usa,127,Low,1905,Qtr 3,July,11,7,East Andrewburgh,1905,Realigned Multimedia Infrastructure,Manned,3,Research,57,Solar Propulsion
$49.9M,"Uae, Usa, Japan",India,105,Low,1905,Qtr 2,June,25,6,Olsenview,1905,Profit-Focused Fresh-Thinking Secured Line,Manned,2,Weather,100,Ai Navigation
$12.3M,"Uae, Usa, Japan",Japan,67,Medium,1905,Qtr 2,June,27,6,Reginaland,1905,Reverse-Engineered Optimal Model,Manned,2,Communication,54,Solar Propulsion
$30.3M,"Uae, Usa, Japan",Japan,246,Medium,1905,Qtr 3,July,9,7,East Rickshire,1905,Centralized Impactful Standardization,Unmanned,3,Navigation,52,Nuclear Propulsion
$16.6M,"Uae, Usa, Russia",Germany,37,High,1905,Qtr 2,June,30,6,West Thomashaven,1905,Right-Sized Zero Administration Infrastructure,Unmanned,2,Communication,51,Reusable Rocket
$21.3M,"Uae, Usa, Russia",India,148,High,1905,Qtr 3,July,10,7,Crystalstad,1905,Triple-Buffered Foreground Middleware,Manned,3,Weather,92,Nuclear Propulsion
$26.7M,"Uae, Usa, Russia",Russia,169,Medium,1905,Qtr 2,June,25,6,Carpenterbury,1905,Decentralized Actuating Budgetary Management,Manned,2,Communication,94,Ai Navigation
$21.3M,"Uae, Usa, Russia",Uae,33,Low,1905,Qtr 3,July,14,7,North Elizabeth,1905,Inverse Modular Structure,Manned,3,Weather,74,Traditional Rocket
$30.3M,Uk,China,130,High,1905,Qtr 2,June,22,6,Kellyside,1905,Proactive Background Matrices,Unmanned,2,Communication,96,Solar Propulsion
$17.4M,Uk,China,123,High,1905,Qtr 2,June,25,6,Williamsside,1905,Advanced Maximized Implementation,Unmanned,2,Navigation,79,Traditional Rocket
$31.2M,Uk,China,176,High,1905,Qtr 3,July,3,7,Petersonland,1905,Synergized Global Instruction Set,Unmanned,3,Weather,91,Reusable Rocket
$48.2M,Uk,China,278,High,1905,Qtr 3,July,5,7,Lisaland,1905,Exclusive Encompassing Access,Manned,3,Spy,58,Traditional Rocket
$25.4M,Uk,China,200,High,1905,Qtr 3,July,9,7,South Gabrieltown,1905,Implemented Secondary Monitoring,Manned,3,Research,56,Solar Propulsion
$20.8M,Uk,China,155,High,1905,Qtr 3,July,13,7,North Terrance,1905,Inverse Bifurcated Graphical User Interface,Unmanned,3,Communication,99,Solar Propulsion
$48.6M,Uk,China,261,Low,1905,Qtr 2,June,26,6,Josephview,1905,Networked Discrete Monitoring,Unmanned,2,Weather,65,Traditional Rocket
$3.8M,Uk,China,328,Low,1905,Qtr 2,June,26,6,Mcgrathport,1905,Diverse Homogeneous Emulation,Unmanned,2,Research,95,Ai Navigation
$13.5M,Uk,China,181,Low,1905,Qtr 3,July,4,7,Parkberg,1905,Programmable Context-Sensitive Architecture,Manned,3,Spy,87,Reusable Rocket
$26.7M,Uk,China,265,Low,1905,Qtr 3,July,17,7,Colemanbury,1905,Multi-Channeled Tertiary Alliance,Manned,3,Communication,67,Nuclear Propulsion
$25.3M,Uk,China,132,Medium,1905,Qtr 2,June,24,6,Richardberg,1905,Vision-Oriented Optimizing Policy,Manned,2,Weather,75,Traditional Rocket
$40.7M,Uk,China,39,Medium,1905,Qtr 3,July,2,7,Schroederfurt,1905,Managed Actuating Emulation,Unmanned,3,Navigation,63,Nuclear Propulsion
$16.1M,Uk,France,356,High,1905,Qtr 2,June,23,6,Natalieshire,1905,Mandatory Object-Oriented Challenge,Unmanned,2,Navigation,80,Solar Propulsion
$50.0M,Uk,France,7,High,1905,Qtr 2,June,26,6,Johnsonfurt,1905,Automated Uniform Forecast,Manned,2,Weather,83,Ai Navigation
$10.2M,Uk,France,2,High,1905,Qtr 2,June,28,6,Thomaschester,1905,Intuitive User-Facing Moratorium,Unmanned,2,Research,61,Traditional Rocket
$31.5M,Uk,France,123,High,1905,Qtr 3,July,13,7,West Michael,1905,Face-To-Face Coherent Customer Loyalty,Unmanned,3,Research,62,Ai Navigation
$27.9M,Uk,France,153,Low,1905,Qtr 2,June,23,6,Berrybury,1905,Implemented Even-Keeled Archive,Manned,2,Weather,95,Nuclear Propulsion
$10.1M,Uk,France,12,Low,1905,Qtr 3,July,1,7,Wilsonfort,1905,De-Engineered Fault-Tolerant Throughput,Unmanned,3,Spy,81,Traditional Rocket
$46.5M,Uk,France,316,Medium,1905,Qtr 2,June,28,6,Port Michael,1905,Persistent Zero Administration Infrastructure,Manned,2,Spy,58,Reusable Rocket
$13.5M,Uk,France,77,Medium,1905,Qtr 3,July,2,7,Charlesville,1905,Re-Engineered Intermediate Algorithm,Unmanned,3,Weather,94,Reusable Rocket
$21.0M,Uk,France,83,Medium,1905,Qtr 3,July,2,7,Morganmouth,1905,Ameliorated Well-Modulated Algorithm,Manned,3,Spy,54,Ai Navigation
$29.2M,Uk,Germany,309,High,1905,Qtr 2,June,27,6,Lake Todd,1905,Streamlined Solution-Oriented Internet Solution,Manned,2,Weather,79,Ai Navigation
$12.0M,Uk,Germany,62,High,1905,Qtr 2,June,27,6,Perezstad,1905,Progressive Web-Enabled Hierarchy,Manned,2,Weather,100,Traditional Rocket
$31.4M,Uk,Germany,103,High,1905,Qtr 3,July,2,7,Ericaside,1905,Team-Oriented Full-Range Migration,Manned,3,Spy,69,Traditional Rocket
$1.2M,Uk,Germany,315,High,1905,Qtr 3,July,4,7,Colleenstad,1905,Compatible Upward-Trending Conglomeration,Unmanned,3,Research,76,Nuclear Propulsion
$23.8M,Uk,Germany,326,High,1905,Qtr 3,July,4,7,Port Angela,1905,Digitized Composite Array,Unmanned,3,Research,98,Solar Propulsion
$17.6M,Uk,Germany,285,Low,1905,Qtr 2,June,25,6,South Stephaniefurt,1905,Ergonomic Stable Middleware,Unmanned,2,Spy,60,Solar Propulsion
$8.8M,Uk,Germany,33,Low,1905,Qtr 3,July,4,7,Johnberg,1905,Enhanced Fault-Tolerant Budgetary Management,Manned,3,Weather,51,Traditional Rocket
$2.2M,Uk,Germany,210,Low,1905,Qtr 3,July,9,7,Woodburgh,1905,Versatile 4Thgeneration Local Area Network,Manned,3,Spy,56,Ai Navigation
$43.7M,Uk,Germany,76,Low,1905,Qtr 3,July,10,7,Martinezstad,1905,Multi-Tiered Didactic Knowledge User,Manned,3,Navigation,93,Solar Propulsion
$31.0M,Uk,Germany,115,Medium,1905,Qtr 3,July,14,7,North David,1905,User-Centric Cohesive Data-Warehouse,Manned,3,Communication,69,Reusable Rocket
$43.9M,Uk,Germany,3,Medium,1905,Qtr 3,July,15,7,Amystad,1905,Profit-Focused Zero Administration Instruction Set,Unmanned,3,Navigation,99,Traditional Rocket
$24.0M,Uk,India,227,High,1905,Qtr 2,June,23,6,Port Charlotte,1905,Customer-Focused 4Thgeneration Projection,Unmanned,2,Spy,57,Solar Propulsion
$43.4M,Uk,India,255,High,1905,Qtr 2,June,24,6,Lake Debbie,1905,Centralized Multimedia Ability,Unmanned,2,Research,56,Reusable Rocket
$7.4M,Uk,India,82,High,1905,Qtr 3,July,8,7,Josephfurt,1905,Advanced Radical Functionalities,Manned,3,Spy,51,Reusable Rocket
$11.7M,Uk,India,114,Low,1905,Qtr 3,July,1,7,East Justin,1905,Visionary Holistic Groupware,Unmanned,3,Research,52,Ai Navigation
$23.1M,Uk,India,92,Low,1905,Qtr 3,July,1,7,Stuarthaven,1905,Secured Stable Conglomeration,Unmanned,3,Navigation,75,Nuclear Propulsion
$4.4M,Uk,India,30,Low,1905,Qtr 3,July,7,7,Wardview,1905,Re-Contextualized Heuristic Ability,Manned,3,Communication,59,Solar Propulsion
$43.4M,Uk,India,326,Low,1905,Qtr 3,July,9,7,East Paul,1905,Multi-Layered Optimizing Workforce,Unmanned,3,Research,96,Traditional Rocket
$49.8M,Uk,India,166,Low,1905,Qtr 3,July,11,7,Cartershire,1905,Profit-Focused Bottom-Line Artificial Intelligence,Unmanned,3,Weather,76,Solar Propulsion
$28.8M,Uk,India,330,Low,1905,Qtr 3,July,17,7,Guzmantown,1905,Versatile Upward-Trending Instruction Set,Manned,3,Weather,55,Ai Navigation
$20.9M,Uk,India,236,Medium,1905,Qtr 2,June,27,6,Erinhaven,1905,Assimilated Leadingedge Adapter,Manned,2,Research,86,Ai Navigation
$11.6M,Uk,India,242,Medium,1905,Qtr 3,July,3,7,Christinafort,1905,Stand-Alone Mission-Critical Pricing Structure,Manned,3,Navigation,83,Reusable Rocket
$48.0M,Uk,Israel,53,High,1905,Qtr 2,June,25,6,Walshstad,1905,Enterprise-Wide Cohesive Hierarchy,Manned,2,Communication,95,Traditional Rocket
$42.1M,Uk,Israel,212,High,1905,Qtr 3,July,7,7,Greentown,1905,Pre-Emptive Methodical Neural-Net,Unmanned,3,Research,71,Solar Propulsion
$4.2M,Uk,Israel,152,High,1905,Qtr 3,July,13,7,Kathytown,1905,Configurable Heuristic Standardization,Unmanned,3,Navigation,97,Traditional Rocket
$40.7M,Uk,Israel,171,High,1905,Qtr 3,July,13,7,New Tamarafort,1905,Reverse-Engineered Logistical Methodology,Manned,3,Communication,70,Reusable Rocket
$12.3M,Uk,Israel,334,Low,1905,Qtr 2,June,26,6,Reedhaven,1905,Optimized Static Website,Unmanned,2,Spy,57,Solar Propulsion
$4.9M,Uk,Israel,293,Low,1905,Qtr 2,June,30,6,Myersmouth,1905,Seamless Methodical Task-Force,Manned,2,Navigation,96,Nuclear Propulsion
$37.4M,Uk,Israel,129,Low,1905,Qtr 3,July,3,7,Port Gabriel,1905,Configurable Well-Modulated Productivity,Unmanned,3,Navigation,71,Traditional Rocket
$27.1M,Uk,Israel,144,Low,1905,Qtr 3,July,10,7,Port Michael,1905,Monitored Intangible Infrastructure,Unmanned,3,Communication,75,Solar Propulsion
$27.1M,Uk,Israel,128,Low,1905,Qtr 3,July,12,7,Lake Danielleland,1905,Down-Sized Explicit Knowledgebase,Manned,3,Spy,63,Traditional Rocket
$29.6M,Uk,Israel,357,Low,1905,Qtr 3,July,15,7,Port Veronica,1905,Synchronized Next Generation Contingency,Manned,3,Research,89,Solar Propulsion
$49.2M,Uk,Israel,47,Medium,1905,Qtr 2,June,23,6,North Luke,1905,Optimized Fault-Tolerant Throughput,Manned,2,Spy,77,Ai Navigation
$38.9M,Uk,Israel,226,Medium,1905,Qtr 2,June,26,6,Codyville,1905,Switchable 24/7 Encryption,Manned,2,Research,94,Reusable Rocket
$34.6M,Uk,Israel,200,Medium,1905,Qtr 2,June,26,6,New Scott,1905,Seamless Methodical Complexity,Unmanned,2,Navigation,82,Traditional Rocket
$22.5M,Uk,Israel,279,Medium,1905,Qtr 3,July,3,7,Swansontown,1905,Advanced Well-Modulated Core,Unmanned,3,Weather,93,Nuclear Propulsion
$43.3M,Uk,Israel,180,Medium,1905,Qtr 3,July,8,7,Brownville,1905,Open-Source 4Thgeneration Intranet,Unmanned,3,Research,91,Ai Navigation
$7.3M,Uk,Israel,47,Medium,1905,Qtr 3,July,8,7,Francoshire,1905,Synchronized Needs-Based Capability,Unmanned,3,Weather,63,Solar Propulsion
$6.9M,Uk,Japan,315,High,1905,Qtr 3,July,7,7,Port Stephen,1905,Fundamental Attitude-Oriented Complexity,Manned,3,Weather,95,Reusable Rocket
$16.2M,Uk,Japan,43,High,1905,Qtr 3,July,11,7,South Carolfort,1905,Sharable Stable Approach,Manned,3,Spy,94,Ai Navigation
$18.4M,Uk,Japan,176,High,1905,Qtr 3,July,11,7,South Emily,1905,Function-Based Intermediate Knowledgebase,Manned,3,Communication,91,Reusable Rocket
$3.1M,Uk,Japan,331,Low,1905,Qtr 3,July,6,7,Karenmouth,1905,Quality-Focused Homogeneous Utilization,Unmanned,3,Spy,74,Nuclear Propulsion
$2.5M,Uk,Japan,78,Low,1905,Qtr 3,July,8,7,East Nicoleside,1905,Up-Sized 5Thgeneration Info-Mediaries,Manned,3,Spy,86,Solar Propulsion
$31.9M,Uk,Japan,137,Medium,1905,Qtr 2,June,29,6,South Colin,1905,Upgradable Asymmetric Customer Loyalty,Unmanned,2,Navigation,69,Traditional Rocket
$32.8M,Uk,Japan,50,Medium,1905,Qtr 3,July,2,7,Ericton,1905,Fully-Configurable Analyzing Database,Manned,3,Weather,87,Nuclear Propulsion
$45.4M,Uk,Japan,139,Medium,1905,Qtr 3,July,5,7,Port Emily,1905,Quality-Focused Radical Infrastructure,Manned,3,Spy,72,Ai Navigation
$28.2M,Uk,Japan,243,Medium,1905,Qtr 3,July,8,7,Sanchezburgh,1905,Profound Multi-State Leverage,Unmanned,3,Navigation,85,Nuclear Propulsion
$42.9M,Uk,Japan,108,Medium,1905,Qtr 3,July,11,7,Munozmouth,1905,Reverse-Engineered System-Worthy System Engine,Unmanned,3,Weather,85,Traditional Rocket
$7.9M,Uk,Japan,58,Medium,1905,Qtr 3,July,16,7,Port Johnbury,1905,Extended High-Level Support,Unmanned,3,Weather,81,Traditional Rocket
$43.9M,Uk,Russia,100,High,1905,Qtr 2,June,23,6,Port Cory,1905,Grass-Roots Asynchronous Middleware,Unmanned,2,Spy,52,Reusable Rocket
$32.2M,Uk,Russia,147,High,1905,Qtr 2,June,25,6,Barbarahaven,1905,Persevering Holistic Open Architecture,Manned,2,Weather,95,Traditional Rocket
$22.0M,Uk,Russia,206,Low,1905,Qtr 2,June,23,6,Whitehaven,1905,Diverse Dynamic Hierarchy,Manned,2,Research,53,Reusable Rocket
$47.0M,Uk,Russia,235,Low,1905,Qtr 3,July,16,7,Deanchester,1905,Balanced Optimizing Leverage,Manned,3,Weather,54,Ai Navigation
$16.6M,Uk,Russia,47,Medium,1905,Qtr 2,June,25,6,North Cherylhaven,1905,Expanded Encompassing Open System,Unmanned,2,Weather,88,Solar Propulsion
$22.2M,Uk,Russia,90,Medium,1905,Qtr 3,July,7,7,Tanyahaven,1905,Advanced Non-Volatile Capacity,Manned,3,Spy,74,Reusable Rocket
$29.4M,Uk,Russia,89,Medium,1905,Qtr 3,July,9,7,Lake Stephanieland,1905,Organized Human-Resource Throughput,Manned,3,Research,57,Traditional Rocket
$23.1M,Uk,Russia,248,Medium,1905,Qtr 3,July,11,7,East Andre,1905,Innovative Next Generation Standardization,Manned,3,Weather,56,Traditional Rocket
$23.4M,Uk,Uae,303,High,1905,Qtr 2,June,26,6,Michaelberg,1905,Customizable Exuding Solution,Manned,2,Weather,60,Traditional Rocket
$24.1M,Uk,Uae,311,Low,1905,Qtr 2,June,26,6,Nicholeport,1905,Public-Key Object-Oriented Flexibility,Manned,2,Communication,100,Nuclear Propulsion
$6.2M,Uk,Uae,170,Low,1905,Qtr 3,July,4,7,East Monicashire,1905,Innovative 24Hour Hub,Manned,3,Weather,56,Nuclear Propulsion
$45.0M,Uk,Uae,330,Low,1905,Qtr 3,July,8,7,Lake Christopherfurt,1905,Virtual Methodical Graphical User Interface,Manned,3,Weather,70,Nuclear Propulsion
$13.2M,Uk,Uae,261,Low,1905,Qtr 3,July,15,7,Rachelfurt,1905,Multi-Tiered System-Worthy Matrices,Manned,3,Weather,68,Ai Navigation
$40.8M,Uk,Uae,315,Medium,1905,Qtr 2,June,29,6,Timothystad,1905,Persistent Multi-State Installation,Manned,2,Communication,87,Solar Propulsion
$8.6M,Uk,Uae,350,Medium,1905,Qtr 3,July,8,7,South Angela,1905,Future-Proofed Heuristic Process Improvement,Manned,3,Communication,79,Nuclear Propulsion
$6.0M,Uk,Uae,168,Medium,1905,Qtr 3,July,17,7,Hamiltonstad,1905,Cross-Group Multi-Tasking Frame,Manned,3,Spy,60,Reusable Rocket
$11.9M,Uk,Uk,250,High,1905,Qtr 2,June,24,6,West Lorraineton,1905,Re-Engineered Fault-Tolerant Challenge,Manned,2,Spy,60,Ai Navigation
$8.8M,Uk,Uk,230,High,1905,Qtr 3,July,12,7,Turnerstad,1905,Public-Key Demand-Driven Migration,Manned,3,Navigation,96,Traditional Rocket
$36.9M,Uk,Uk,319,Low,1905,Qtr 2,June,27,6,Ericshire,1905,Proactive Asynchronous Alliance,Unmanned,2,Navigation,94,Solar Propulsion
$7.3M,Uk,Uk,117,Low,1905,Qtr 3,July,5,7,South Suzannechester,1905,Customer-Focused Leadingedge Emulation,Unmanned,3,Weather,75,Reusable Rocket
$1.7M,Uk,Uk,226,Medium,1905,Qtr 3,July,5,7,West Benjamin,1905,Face-To-Face Client-Server Challenge,Manned,3,Weather,89,Ai Navigation
$2.8M,Uk,Uk,218,Medium,1905,Qtr 3,July,6,7,Singletonport,1905,Reverse-Engineered 24Hour Project,Manned,3,Research,76,Ai Navigation
$38.6M,Uk,Uk,236,Medium,1905,Qtr 3,July,16,7,West Shawn,1905,Balanced Impactful Workforce,Unmanned,3,Research,89,Nuclear Propulsion
$19.8M,Uk,Usa,143,High,1905,Qtr 2,June,25,6,West Richard,1905,Business-Focused Grid-Enabled Success,Unmanned,2,Research,88,Traditional Rocket
$47.8M,Uk,Usa,154,High,1905,Qtr 3,July,1,7,Lake Jessica,1905,Assimilated Reciprocal Help-Desk,Manned,3,Weather,62,Traditional Rocket
$28.2M,Uk,Usa,313,Low,1905,Qtr 2,June,27,6,Tiffanyville,1905,Function-Based Clear-Thinking Functionalities,Manned,2,Weather,63,Traditional Rocket
$1.6M,Uk,Usa,19,Low,1905,Qtr 2,June,28,6,Benjaminfurt,1905,Adaptive Demand-Driven Infrastructure,Manned,2,Navigation,70,Nuclear Propulsion
$1.8M,Uk,Usa,188,Low,1905,Qtr 3,July,11,7,Brentland,1905,Proactive Non-Volatile Time-Frame,Unmanned,3,Navigation,84,Solar Propulsion
$10.9M,Uk,Usa,183,Low,1905,Qtr 3,July,12,7,Marshallside,1905,Proactive Optimizing Alliance,Unmanned,3,Research,82,Ai Navigation
$44.6M,Uk,Usa,14,Low,1905,Qtr 3,July,15,7,North Ashleytown,1905,Self-Enabling Uniform Projection,Manned,3,Spy,93,Reusable Rocket
$11.1M,Uk,Usa,86,Low,1905,Qtr 3,July,17,7,Kingmouth,1905,Down-Sized Scalable Array,Unmanned,3,Navigation,59,Reusable Rocket
$39.5M,Uk,Usa,233,Medium,1905,Qtr 2,June,24,6,Cooperfort,1905,Fully-Configurable Tertiary Array,Manned,2,Research,87,Traditional Rocket
$16.2M,Uk,Usa,299,Medium,1905,Qtr 2,June,25,6,Jennifermouth,1905,Customizable Regional Infrastructure,Manned,2,Research,73,Traditional Rocket
$37.8M,Uk,Usa,66,Medium,1905,Qtr 2,June,27,6,Amymouth,1905,Optional Exuding Definition,Unmanned,2,Communication,95,Reusable Rocket
$17.3M,Uk,Usa,182,Medium,1905,Qtr 2,June,30,6,Morganbury,1905,Assimilated Tangible Monitoring,Manned,2,Spy,65,Traditional Rocket
$4.3M,Uk,Usa,223,Medium,1905,Qtr 3,July,2,7,Watsonshire,1905,Implemented Homogeneous Framework,Unmanned,3,Research,52,Nuclear Propulsion
$29.6M,Uk,Usa,184,Medium,1905,Qtr 3,July,3,7,Howardbury,1905,Fully-Configurable Zero-Defect Archive,Unmanned,3,Communication,86,Reusable Rocket
